Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
26.7,54.8,5.8,11.3,15.8,4.5,1.25,11.8,565
30.1,78.3,38.7,45.7,35.3,9.2,1.46,5.8,562
34.5,62.3,12.9,27.6,27.3,7.7,1.58,6.7,474
43.2,98.2,6.1,32.9,42.3,19.8,2.26,4.1,797
25.3,79.8,2.3,10.9,33.5,14.1,2.04,4.3,602
27.3,79.7,3.5,7.7,27.5,5.4,1.05,11.3,285
30.9,57.2,2.0,12.9,29.2,15.2,1.37,6.2,632
27.2,59.2,4.5,8.1,13.9,6.9,1.0,15.6,543
24.3,49.0,14.6,21.3,21.8,5.4,0.96,11.8,441
36.9,69.8,55.4,62.3,37.2,21.0,2.04,3.8,414
27.7,77.8,20.8,28.2,15.5,4.7,0.97,11.4,225
20.6,69.0,23.2,27.0,13.6,2.4,0.92,13.1,444
31.7,59.3,6.9,16.7,29.4,7.0,1.37,11.9,323
28.3,74.9,2.1,10.2,26.3,8.3,1.59,5.1,342
39.0,92.4,1.7,3.6,31.7,4.8,1.19,7.0,428
44.1,72.8,45.0,59.2,33.9,13.0,2.21,6.9,707
22.8,56.6,9.8,15.4,13.8,4.3,1.11,11.7,372
26.8,72.5,2.4,12.8,26.4,13.2,1.38,6.5,484
28.4,66.1,35.2,50.0,24.8,7.8,1.2,6.5,311
22.8,65.1,3.1,10.6,11.1,4.9,0.88,12.0,500
27.1,111.8,2.6,30.7,32.7,23.2,1.93,6.3,691
23.7,67.3,10.3,17.7,24.6,2.6,1.01,15.8,488
30.9,49.5,0.3,5.5,20.1,3.5,0.93,11.0,237
39.5,70.2,5.4,24.3,38.0,0.1,1.85,4.3,616
39.3,67.4,12.1,19.7,22.3,7.5,1.75,5.1,514
38.5,87.4,15.6,22.3,37.3,13.7,1.62,7.5,412
41.7,93.9,8.3,22.4,36.1,22.3,2.06,3.8,497
44.1,89.4,18.7,39.9,29.3,18.1,1.87,4.2,450
33.4,69.8,5.8,14.5,38.2,8.4,1.66,12.0,444
28.6,67.5,0.2,4.9,19.0,4.5,1.04,11.4,444
41.4,74.4,27.5,38.8,28.9,21.3,2.18,4.2,778
24.1,39.7,9.6,14.8,23.9,4.6,0.92,13.4,350
41.9,81.3,11.4,23.3,31.2,11.5,1.98,5.5,459
27.0,45.8,1.7,6.0,13.0,6.9,0.92,10.9,233
22.3,78.8,19.3,26.0,26.1,5.5,0.82,10.7,214
26.6,62.6,49.0,60.6,25.6,12.6,1.61,6.7,391
33.9,94.5,8.9,15.1,33.2,11.7,1.89,4.3,680
29.4,64.5,0.7,4.7,16.4,4.7,1.1,11.1,520
29.7,78.5,9.5,16.4,14.5,5.3,0.86,13.6,275
32.6,78.3,4.6,24.6,25.8,21.2,1.97,5.9,540
28.4,57.0,5.6,11.4,23.9,4.4,0.96,11.3,370
30.3,91.8,1.0,18.8,23.1,4.4,1.31,5.9,359
21.7,76.5,5.5,8.4,22.5,5.0,0.98,14.8,340
24.4,66.2,2.9,8.6,20.8,5.6,0.93,13.1,467
34.9,66.8,8.4,20.7,32.8,11.8,1.21,8.2,623
28.3,82.6,18.2,25.7,29.0,6.7,1.49,6.1,563
28.4,42.8,0.6,6.7,24.8,9.1,1.05,10.3,599
24.0,68.7,18.6,31.1,30.6,7.3,1.44,6.0,588
24.4,59.3,8.9,15.7,26.4,6.6,0.94,10.4,576
26.2,79.1,28.3,31.9,21.7,7.6,0.93,11.1,230
23.7,56.0,1.4,11.1,26.0,9.9,1.2,7.1,331
38.8,78.7,3.1,21.2,43.4,16.0,2.02,3.6,772
33.2,59.6,11.5,15.6,23.6,6.4,1.25,5.6,463
27.4,64.6,21.8,37.7,22.3,5.6,1.45,6.4,465
26.0,79.4,4.8,18.1,19.5,10.1,1.86,6.7,525
30.5,75.1,21.5,34.0,25.6,7.6,1.21,6.1,401
30.4,98.7,21.6,29.6,35.1,12.7,2.13,4.0,625
31.8,97.6,39.5,51.6,25.5,9.9,1.81,6.0,652
25.0,50.9,4.9,11.4,23.4,2.8,1.1,13.7,196
32.5,68.3,33.2,40.1,29.0,9.5,1.52,6.5,410
27.4,63.2,24.9,35.3,30.7,8.8,1.5,5.6,631
28.9,49.8,0.3,1.5,20.5,8.5,1.13,11.4,485
23.4,68.0,5.5,10.6,25.5,2.0,1.09,12.0,471
20.8,68.0,7.4,11.4,10.6,7.4,0.95,10.8,316
23.1,50.9,6.1,9.2,14.0,8.3,0.87,11.0,287
21.8,77.8,4.0,9.1,15.5,8.4,0.98,11.5,273
32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412
28.5,59.7,7.7,15.5,25.6,21.4,1.46,5.3,423
24.3,62.5,1.1,9.6,20.8,7.0,1.08,10.9,567
26.9,53.5,20.0,28.4,29.5,5.3,1.36,8.5,313
32.1,62.6,47.9,59.1,30.0,7.9,1.48,7.1,414
38.5,55.8,12.3,32.1,24.8,9.4,1.75,5.6,312
29.4,54.3,9.2,15.5,29.3,8.6,1.49,10.6,405
30.7,62.7,6.5,10.0,11.7,4.6,0.92,10.6,265
33.5,82.9,21.9,45.6,37.1,20.9,1.72,4.7,591
46.0,80.1,8.2,40.2,30.8,15.3,2.55,7.9,584
22.1,46.7,0.8,6.3,26.0,3.1,0.98,10.0,469
24.3,78.7,13.3,20.4,23.6,3.8,0.92,11.1,348
34.7,94.5,12.3,31.9,39.8,20.2,1.58,4.4,424
27.5,61.0,41.9,58.8,26.0,12.0,1.6,5.6,488
26.1,49.9,0.0,5.9,18.7,9.7,0.82,10.4,556
24.7,70.4,8.1,12.2,17.3,4.2,1.04,11.0,243
27.7,51.1,16.1,20.2,26.0,6.0,0.99,10.6,562
22.0,69.7,32.0,34.7,28.9,3.8,1.21,10.6,239
36.4,77.4,39.3,62.4,25.9,10.8,2.37,4.8,774
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449
28.4,66.1,5.6,9.5,18.9,3.6,0.97,11.8,560
35.5,91.0,13.1,17.2,20.7,15.1,1.99,5.4,597
28.9,48.1,2.2,5.6,23.1,5.9,1.09,10.6,465
36.8,71.4,5.4,46.1,41.7,6.3,2.35,2.6,846
25.9,76.7,13.8,17.9,17.4,5.0,1.2,10.3,251
40.0,71.3,0.5,4.4,14.5,16.1,1.41,5.1,318
34.9,59.2,31.4,41.2,25.3,16.4,1.55,7.2,570
34.1,72.9,2.2,15.6,33.6,4.9,1.43,5.6,526
32.4,81.8,16.6,30.3,19.3,13.6,1.68,3.8,588
29.9,86.8,33.4,41.3,20.6,8.3,1.46,10.6,295
31.2,54.0,16.4,22.8,23.0,3.9,1.59,9.4,492
20.0,51.3,2.1,2.5,14.2,7.1,0.84,10.1,227
31.1,64.9,3.7,11.2,21.3,7.9,1.02,11.5,233
32.7,60.5,13.5,27.2,22.9,9.3,1.45,8.7,322
23.4,69.5,5.8,12.1,19.5,7.8,1.02,12.6,412
32.1,49.0,0.5,3.1,15.8,4.8,0.98,12.2,423
31.8,60.1,14.6,27.5,23.3,10.9,1.31,7.9,679
26.8,60.5,1.3,9.1,16.4,4.6,0.94,11.5,359
23.5,74.6,0.3,6.6,16.8,3.9,1.22,13.1,491
28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442
28.9,44.2,5.6,10.9,19.7,4.5,1.03,18.0,333
32.0,88.8,4.7,13.5,29.4,11.5,1.62,7.9,604
24.4,63.5,3.0,6.7,17.4,5.0,0.96,15.5,223
36.5,86.5,19.9,32.8,33.3,12.4,2.14,4.0,623
43.8,106.8,4.6,19.2,32.8,21.2,2.34,4.1,425
28.0,53.6,20.2,28.4,14.1,2.7,0.99,11.7,475
23.7,51.7,19.1,22.2,24.0,7.0,1.07,10.6,371
23.2,67.2,8.0,14.3,25.1,14.3,1.57,5.4,456
21.3,41.7,6.9,10.9,21.2,3.7,1.0,12.8,298
29.5,69.1,30.2,35.4,43.3,15.5,1.62,7.0,711
30.7,79.1,23.2,25.8,13.5,5.5,0.98,10.1,456
32.9,63.1,12.1,17.5,24.7,12.3,1.57,5.1,467
28.8,64.9,16.7,27.9,11.7,5.6,0.85,10.9,562
29.9,54.2,24.6,38.5,30.9,14.1,1.67,7.0,359
24.9,47.4,26.1,32.3,11.3,9.8,0.89,17.5,266
43.0,64.7,12.3,21.3,29.6,6.6,1.72,7.1,619
19.3,46.8,22.4,25.0,13.5,5.3,1.17,10.3,230
34.7,69.9,29.7,43.7,29.5,11.6,1.6,6.9,398
32.9,74.8,4.9,9.6,22.3,9.9,1.71,6.0,339
35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629
27.2,78.3,43.1,43.8,15.1,2.4,0.97,12.3,397
24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354
31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361
22.3,70.1,2.6,10.4,26.8,2.9,1.2,10.1,388
27.9,39.7,2.3,8.1,22.2,6.3,1.0,10.2,430
38.9,86.0,18.1,29.0,39.7,15.2,2.09,4.1,477
27.4,44.7,12.7,22.1,22.0,8.7,1.18,5.8,363
29.1,63.6,12.3,21.1,32.0,5.1,1.53,7.4,542
23.8,54.2,2.6,5.1,18.7,6.8,1.12,12.2,351
27.2,75.0,2.6,15.4,23.5,10.7,1.31,6.2,500
25.1,66.6,38.5,43.4,18.5,4.3,0.92,12.0,326
24.8,73.6,10.8,13.4,22.1,3.7,1.16,10.4,450
20.9,62.3,7.4,11.1,20.6,3.0,0.96,13.1,295
31.5,76.0,3.3,10.1,32.2,9.5,1.44,9.3,389
31.7,53.6,24.2,36.1,23.3,6.4,1.36,5.4,566
23.7,66.3,9.6,17.0,16.6,8.0,1.07,11.3,516
20.3,63.0,21.7,24.1,16.5,4.3,0.89,17.1,191
28.7,65.0,12.0,18.3,27.3,6.2,0.99,10.3,331
28.3,75.6,0.1,8.7,10.4,4.0,1.04,12.5,518
27.1,61.5,24.0,29.4,45.5,14.3,2.19,4.3,806
28.4,77.5,39.0,55.4,24.2,7.4,2.06,8.0,707
35.2,96.2,4.9,15.5,33.6,9.7,2.34,3.6,515
24.6,60.5,7.7,17.2,27.0,15.1,1.62,11.0,599
21.5,52.5,4.3,13.9,30.0,12.6,1.42,5.0,333
27.8,96.1,4.5,31.9,39.5,0.7,1.99,4.5,614
23.3,55.0,2.0,12.5,19.2,5.7,1.12,10.6,339
30.4,67.5,16.5,21.0,43.4,15.4,1.97,9.6,502
30.5,55.3,6.3,18.2,21.9,15.1,1.45,5.2,391
24.1,72.6,15.9,18.3,14.8,4.3,1.15,12.5,317
30.9,92.5,24.3,29.7,34.9,18.0,1.64,9.1,678
23.7,39.2,6.9,13.2,21.8,3.8,0.94,11.8,576
26.3,44.2,16.7,20.4,12.5,4.3,0.95,11.7,397
22.5,40.7,26.5,31.8,26.4,7.0,1.18,10.9,452
25.6,42.7,5.4,8.4,19.3,4.6,0.92,10.3,418
21.2,72.7,13.9,21.1,23.4,5.1,0.87,11.7,207
25.5,88.7,10.6,20.0,25.4,10.5,1.5,5.8,364
24.4,60.7,0.0,4.6,26.6,5.3,0.92,10.2,432
25.7,70.3,0.7,5.4,14.0,10.0,0.91,11.1,374
24.2,59.3,5.4,7.7,28.5,4.2,0.99,12.2,569
36.6,90.5,21.9,33.1,30.7,19.9,2.3,7.2,443
28.2,84.8,19.4,23.4,27.0,6.8,1.65,6.3,661
33.5,110.4,34.0,49.8,30.4,2.6,2.06,4.2,706
27.6,57.9,0.3,8.8,12.9,5.1,1.08,10.2,265
26.4,54.3,4.2,7.6,23.8,5.8,1.02,11.7,299
30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609
26.1,77.5,0.3,14.5,20.8,9.9,1.86,5.4,376
40.0,75.6,16.8,35.2,34.9,14.2,2.09,6.5,591
24.6,82.8,5.6,19.8,28.7,19.1,2.02,8.0,710
28.9,61.7,2.7,7.1,35.3,7.8,1.45,6.0,439
27.4,77.3,12.9,21.1,16.4,15.8,1.81,8.0,406
31.5,49.1,36.6,40.4,26.6,7.9,1.58,6.6,318
28.0,56.8,5.2,8.9,26.6,8.6,1.04,10.8,593
30.8,47.2,28.0,33.6,28.4,14.6,1.27,5.3,316
30.5,87.9,28.4,38.1,29.2,15.2,1.76,5.0,496
38.6,50.6,13.6,18.5,24.5,8.5,1.66,7.6,489
32.4,62.2,39.6,52.6,28.7,15.8,1.33,6.1,463
23.3,66.1,0.8,5.2,18.4,5.7,0.89,10.3,492
41.1,68.2,14.3,22.6,32.7,13.6,1.86,5.4,453
31.0,74.1,11.1,14.5,20.9,9.9,0.86,14.4,353
24.8,73.1,6.5,9.8,17.5,10.0,1.02,12.5,287
32.2,55.7,17.2,30.4,36.3,1.6,1.31,5.4,617
44.0,70.6,23.0,42.3,35.2,17.2,1.79,3.5,726
27.5,75.0,1.5,6.6,17.3,3.9,1.26,18.8,449
26.0,45.1,24.7,28.7,21.4,1.9,1.12,11.9,397
32.4,74.5,16.6,35.0,43.8,11.3,2.2,4.6,374
36.3,88.7,13.5,25.7,29.9,6.7,2.02,4.8,739
30.2,62.1,40.2,47.5,20.3,14.7,1.76,5.1,574
24.0,55.5,4.1,5.7,12.7,4.3,0.89,13.9,545
32.3,83.0,10.2,15.1,27.0,12.7,1.45,5.0,454
28.0,88.7,13.5,25.9,23.7,18.5,0.94,8.6,546
25.3,40.1,3.8,12.3,15.8,3.9,0.99,12.2,375
25.0,77.6,0.7,7.6,17.4,8.0,1.74,5.2,317
25.1,47.4,1.9,6.0,24.0,8.4,1.0,10.9,265
29.8,44.0,30.2,31.6,23.9,2.6,0.99,18.6,322
17.8,61.3,2.0,8.0,25.2,5.0,1.09,10.2,372
29.9,81.0,3.9,14.9,25.2,10.9,1.24,6.4,366
31.6,105.9,0.4,15.7,38.4,11.9,1.34,6.5,421
26.2,64.3,16.2,19.4,18.5,9.0,1.08,11.3,566
27.2,68.6,1.5,11.8,29.7,21.9,1.91,7.9,410
22.2,56.3,6.7,13.5,21.4,4.9,1.11,12.3,348
36.8,69.6,21.8,35.1,36.0,4.3,2.45,4.8,729
42.2,91.6,0.4,11.5,35.9,12.5,2.15,5.9,683
35.1,78.2,14.0,32.1,28.3,3.0,1.98,3.7,597
27.5,68.3,0.4,6.2,27.0,9.3,1.12,11.6,465
27.2,60.6,16.5,23.5,30.5,9.0,1.69,6.6,382
30.2,75.6,15.3,18.2,20.7,4.6,0.95,12.3,445
32.4,93.5,31.6,45.9,32.9,13.6,2.15,6.6,482
23.7,61.5,19.4,25.0,11.8,0.9,1.18,12.0,333
17.8,77.9,8.3,15.5,18.5,6.1,0.94,15.5,546
23.1,70.5,34.7,39.4,21.6,4.5,0.85,10.8,283
22.1,56.3,6.8,13.1,25.6,1.5,1.01,11.6,535
44.4,70.0,7.1,19.5,23.3,11.6,1.71,5.1,762
29.8,84.3,0.6,14.0,34.6,14.2,1.61,5.4,506
28.8,58.0,6.3,36.4,42.2,1.9,2.43,3.5,505
22.3,58.5,30.3,36.3,18.8,4.1,0.87,10.3,479
29.9,107.5,33.5,52.1,27.7,17.6,2.42,3.4,592
24.2,83.2,19.6,29.1,22.4,1.7,1.37,6.0,384
28.5,71.0,6.7,13.1,21.8,4.0,0.97,13.1,510
26.2,51.9,9.4,13.7,22.5,4.9,1.01,10.1,449
28.0,69.2,4.8,12.6,25.5,6.1,0.73,12.7,408
28.8,40.1,12.0,17.6,25.9,7.2,1.06,13.3,390
17.0,77.2,19.0,26.3,19.7,8.1,1.0,11.1,217
24.7,49.4,8.4,14.8,15.7,6.5,1.2,10.2,194
34.1,73.4,5.5,12.2,20.9,4.6,1.0,10.1,188
35.4,75.0,10.0,18.8,24.0,13.6,1.5,6.2,390
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6.0,417
41.4,55.0,14.8,28.8,27.7,16.4,1.32,5.0,297
26.5,51.7,0.7,5.3,10.7,7.1,1.05,10.2,555
20.0,65.8,5.6,12.5,11.6,5.5,1.1,13.4,373
37.2,111.3,0.2,8.8,31.9,18.5,2.12,7.7,753
21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340
32.5,55.7,5.6,10.7,26.0,12.7,1.54,5.7,298
27.6,67.0,1.5,18.1,28.8,10.5,1.38,5.8,406
24.3,40.8,10.6,16.6,13.2,7.3,0.85,14.3,398
33.9,53.4,18.5,24.7,26.0,9.8,1.96,6.3,605
25.7,63.4,41.1,51.5,36.0,10.7,1.77,7.0,628
21.4,65.3,9.9,12.7,25.5,2.5,1.01,11.7,295
30.0,78.0,9.7,14.5,15.5,7.2,1.05,12.3,554
21.7,69.0,7.3,12.7,21.1,6.2,0.94,10.4,593
23.5,60.1,0.4,7.2,17.2,6.1,1.02,10.1,384
36.5,62.0,42.7,54.8,25.3,21.7,2.48,3.5,623
31.7,106.5,14.7,21.2,33.0,18.0,1.98,4.1,661
34.4,68.6,14.6,20.6,28.4,6.4,1.36,7.2,412
30.5,62.3,13.3,18.8,19.7,5.2,1.01,11.4,495
32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493
25.8,54.6,6.5,7.6,13.6,5.8,1.04,12.1,401
30.2,48.6,6.9,15.8,19.7,9.4,1.57,5.2,598
29.0,71.5,7.9,8.1,24.2,7.2,1.13,14.7,532
23.4,86.5,6.0,21.3,21.1,20.9,2.44,6.3,505
30.4,77.7,27.8,37.1,19.9,8.1,1.98,10.4,693
32.0,69.6,8.1,23.1,33.8,7.5,1.48,10.0,575
35.2,71.8,12.2,25.7,28.0,7.1,1.27,7.8,327
35.8,69.7,9.8,14.4,22.5,10.5,1.1,5.3,396
28.9,49.4,12.9,18.5,18.5,4.7,0.89,10.1,461
35.5,69.0,22.0,38.7,35.0,9.9,2.1,6.1,490
25.9,87.6,28.6,47.1,23.1,6.4,1.46,5.6,490
24.2,63.9,6.6,9.1,24.1,2.7,0.93,12.8,369
34.4,72.7,26.3,39.6,29.3,14.9,1.51,9.0,439
20.3,75.5,8.6,14.6,14.7,4.6,0.99,16.3,297
22.5,43.6,11.8,16.3,13.2,5.4,0.99,10.5,307
27.4,78.0,5.0,21.9,33.8,16.5,1.57,5.6,468
33.1,80.3,28.6,49.4,27.8,15.3,1.46,5.6,609
23.6,43.3,5.4,10.2,16.4,6.8,1.04,15.8,368
26.7,100.1,3.9,18.1,30.7,15.5,1.62,3.7,457
37.1,97.7,11.7,27.3,31.4,17.8,1.87,9.6,675
22.7,64.4,14.2,22.5,21.5,8.1,1.06,12.2,389
21.6,46.5,6.5,15.7,21.8,7.8,1.03,15.0,602
29.6,46.2,0.8,4.4,26.8,3.6,1.03,11.9,300
24.1,68.0,2.6,4.7,25.2,8.5,1.18,11.3,580
30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399
28.6,50.6,43.7,48.8,15.7,7.2,1.14,11.8,531
20.6,60.3,33.8,38.3,19.9,1.1,1.07,10.1,207
34.0,104.3,25.9,44.1,41.7,15.9,2.35,7.1,676
30.0,78.1,38.4,55.7,30.8,16.4,1.45,5.9,739
34.8,88.8,12.6,30.8,25.3,8.4,1.49,8.7,431
33.8,88.3,7.6,13.1,26.7,5.6,1.44,5.9,654
25.7,71.4,13.9,18.5,22.2,6.4,1.41,7.7,520
22.6,75.5,55.8,63.3,30.0,7.7,1.33,5.9,361
29.0,39.7,8.9,16.2,26.2,4.2,0.97,15.0,250
41.0,60.7,26.9,56.7,38.4,13.0,2.25,3.5,673
29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439
27.7,75.8,0.2,5.2,10.4,4.0,0.93,10.4,505
27.3,71.0,8.3,11.9,13.5,11.1,1.13,12.0,390
27.9,104.7,7.3,17.6,28.4,17.3,2.43,5.0,505
25.9,78.4,27.5,33.5,26.0,4.3,1.03,11.2,360
29.6,44.0,3.6,10.2,22.3,7.5,1.11,10.2,484
26.7,71.4,9.4,22.3,31.4,10.3,1.55,7.7,688
21.1,47.7,22.5,26.8,18.5,6.1,1.1,12.2,492
19.1,64.9,2.5,10.5,26.0,6.0,1.08,10.4,368
32.6,83.8,5.5,13.0,30.8,12.2,1.73,7.2,363
25.4,76.7,10.3,19.4,22.7,10.5,1.19,7.8,609
30.3,94.9,15.4,28.7,32.9,10.2,1.48,7.0,620
27.8,76.1,1.9,10.1,39.1,4.5,1.97,5.6,479
32.9,62.6,17.1,30.6,21.9,14.6,1.4,5.2,533
25.1,43.3,23.0,28.6,24.2,3.9,1.01,16.0,392
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236
36.3,58.4,4.7,13.2,24.0,8.8,1.46,6.7,629
22.6,72.2,20.1,23.5,17.9,2.0,1.13,11.9,581
26.4,51.5,24.8,27.2,21.8,3.7,0.93,13.7,215
16.1,69.8,14.1,19.9,14.4,9.7,0.98,11.0,498
14.1,54.5,3.6,8.3,17.4,7.0,0.99,10.1,238
37.5,76.6,9.3,10.1,32.2,15.0,1.29,5.1,669
27.6,78.0,19.2,29.8,35.6,15.0,1.45,6.2,387
32.6,63.8,4.6,21.9,20.9,14.5,1.6,7.7,605
29.8,67.7,3.6,12.7,17.0,6.8,1.01,13.7,550
29.6,54.1,9.8,20.3,28.7,15.3,1.39,9.8,690
21.9,59.7,9.7,12.0,17.5,4.0,1.07,13.8,524
26.1,61.7,5.3,8.6,19.5,9.1,1.07,15.4,381
20.6,65.7,19.0,28.4,29.1,14.1,1.45,8.0,683
31.1,52.6,23.6,27.8,26.9,4.3,1.56,6.6,416
28.6,84.4,17.7,33.8,34.3,21.7,2.42,4.0,712
36.4,98.8,15.7,18.1,39.1,12.8,1.95,3.4,541
35.8,71.8,42.3,53.4,29.8,13.3,2.32,4.0,485
32.2,78.1,0.4,6.2,26.7,13.8,1.64,5.1,540
26.0,79.9,22.6,28.3,22.7,5.9,1.37,12.0,323
